Sigla,Município,Q1,Q2,Q3,Q4,Average Precipitation,,,,
BA,Cordeiros,117.45,42.78,3.67,77.13,60.2575,,,,
BA,Coribe,150.53,62.15,1.59,83.47,74.435,,,,
BA,Coronel João Sá,38.57,72.24,56.54,21.69,47.26,,,,
BA,Correntina,214.05,93.31,3.62,108.27,104.8125,,,,
BA,Cotegipe,156.92,79.91,2.07,81,79.975,,,,
BA,Cravolândia,93.57,89.4,80.13,70.5,83.4,,,,
BA,Crisópolis,55.71,106.06,90.94,44.53,74.31,,,,
BA,Cristópolis,157.34,82.56,1.91,87.1,82.2275,,,,
BA,Cruz das Almas,82.53,142.7,126.87,78.97,107.7675,,,,
BA,Curaçá,65.96,61.2,7.63,15.95,37.685,,,,
BA,Dário Meira,118.57,87.9,61.75,87.32,88.885,,,,
BA,Dias d'Ávila,85.37,223.57,168.77,96.53,143.56,,,,
BA,Dom Basílio,92.39,40.99,3.93,59.63,49.235,,,,
BA,Dom Macedo Costa,83.5,115.5,101.83,72.27,93.275,,,,
BA,Elísio Medrado,94.6,70.63,59.9,58.13,70.815,,,,
BA,Encruzilhada,115.32,52.23,22.36,87.11,69.255,,,,
BA,Entre Rios,86.34,186.83,159.07,86.44,129.67,,,,
BA,Esplanada,79.87,174.73,153.69,75.73,121.005,,,,
BA,Euclides da Cunha,50.63,77.73,64.42,29.23,55.5025,,,,
BA,Eunápolis,135.7,121.48,98.84,126.99,120.7525,,,,
BA,Fátima,44.27,95.53,81.8,30.27,62.9675,,,,
BA,Feira da Mata,148.83,57.68,1.6,80.75,72.215,,,,
BA,Feira de Santana,73.54,89.64,69.79,51.94,71.2275,,,,
BA,Filadélfia,78,75.83,44.8,33.57,58.05,,,,
BA,Firmino Alves,112.77,79.47,52.73,84.6,82.3925,,,,
BA,Floresta Azul,121.13,91.87,71.1,94.1,94.55,,,,
BA,Formosa do Rio Preto,189.57,96.54,2.88,97.98,96.7425,,,,
BA,Gandu,140.07,139.87,138.4,115.57,133.4775,,,,
BA,Gavião,71.25,56.95,39.18,35.48,50.715,,,,
BA,Gentio do Ouro,127,68.44,2.07,61.37,64.72,,,,
BA,Glória,50.43,61.24,15.42,10.5,34.3975,,,,
BA,Gongogi,115.87,110.13,94.5,92.9,103.35,,,,
BA,Governador Mangabeira,77.77,135.4,115.07,70.73,99.7425,,,,
BA,Guajeru,106.07,39.57,1.73,62.28,52.4125,,,,
BA,Guanambi,134.68,48.92,1.06,67.51,63.0425,,,,
BA,Guaratinga,133.65,86.29,57.12,105.82,95.72,,,,
BA,Heliópolis,44.53,96.27,81.87,30.77,63.36,,,,
BA,Iaçu,85.47,52.92,23.3,42.76,51.1125,,,,
BA,Ibiassucê,127.2,49.57,2.37,75.93,63.7675,,,,
BA,Ibicaraí,118.27,99.63,77.47,95.73,97.775,,,,
BA,Ibicoara,120.15,79.17,38.46,79.75,79.3825,,,,
BA,Ibicuí,124.53,94.67,70.28,97.28,96.69,,,,
BA,Ibipeba,110.32,53.68,2.73,55.39,55.53,,,,
BA,Ibipitanga,119.32,53.74,1.27,67.67,60.5,,,,
BA,Ibiquera,91.8,57.72,22.71,44.82,54.2625,,,,
BA,Ibirapitanga,135.53,145.45,146.75,118.12,136.4625,,,,
BA,Ibirapuã,126.02,88.18,55.03,115.29,96.13,,,,
BA,Ibirataia,132.87,137.6,142.2,119.1,132.9425,,,,
BA,Ibitiara,108.38,51.95,2.4,63.91,56.66,,,,
BA,Ibititá,106.73,48.77,3.67,51.8,52.7425,,,,
BA,Ibotirama,140.46,69.28,0.89,75.78,71.6025,,,,
BA,Ichu,72.57,72.77,55.07,45.83,61.56,,,,
BA,Igaporã,136.13,50.55,5.03,73.28,66.2475,,,,
BA,Igrapiúna,156.43,176.33,174.33,138.77,161.465,,,,
BA,Iguaí,116.6,78.19,50.41,88.14,83.335,,,,
BA,Ilhéus,144.92,152.71,136.67,131.55,141.4625,,,,
BA,Inhambupe,63.33,106.35,86.75,53.31,77.435,,,,
BA,Ipecaetá,64.7,66.8,56.5,39.43,56.8575,,,,
BA,Ipiaú,119.17,112.33,98.07,98.77,107.085,,,,
BA,Ipirá,72.71,63.07,52.08,40.71,57.1425,,,,
BA,Ipupiara,115.15,56.91,2.89,60.76,58.9275,,,,
BA,Irajuba,84.93,63.23,46.05,49.18,60.8475,,,,
BA,Iramaia,101.38,54.27,13.69,55.68,56.255,,,,
BA,Iraquara,111.62,79.32,38.95,67.07,74.24,,,,
BA,Irará,78.43,109.33,89.27,63.13,85.04,,,,
BA,Irecê,100.57,53,4.63,48.67,51.7175,,,,
BA,Itabela,134.78,102.95,76.33,116.72,107.695,,,,
BA,Itaberaba,92.26,60.35,28.42,46.96,56.9975,,,,
BA,Itabuna,131.23,119.9,99.2,113.37,115.925,,,,
BA,Itacaré,148,178.52,164.62,135.58,156.68,,,,
BA,Itaeté,113.46,71.63,19.88,64.88,67.4625,,,,
BA,Itagi,104.53,74.9,53.33,71.6,76.09,,,,
BA,Itagibá,130.02,112.18,88.97,104.42,108.8975,,,,
BA,Itagimirim,124.83,113.13,92.58,117.32,111.965,,,,
BA,Itaguaçu da Bahia,105.86,58.47,1.46,42.41,52.05,,,,
BA,Itaju do Colônia,111.87,86.83,58.61,88.19,86.375,,,,
BA,Itajuípe,125.47,119.23,114.4,115.7,118.7,,,,
BA,Itamaraju,123.39,90.24,65.36,109.04,97.0075,,,,
BA,Itamari,132.8,135.73,141.5,116.93,131.74,,,,
BA,Itambé,98.73,65.32,39.13,76.47,69.9125,,,,
BA,Itanagra,84.98,203.4,157.82,85.62,132.955,,,,
BA,Itanhém,130.21,84.06,55.59,111.2,95.265,,,,
BA,Itaparica,104.33,238.93,196.87,101.83,160.49,,,,
BA,Itapé,120.42,102.9,80.88,100.23,101.1075,,,,
BA,Itapebi,110.37,99.9,79.39,104.89,98.6375,,,,
BA,Itapetinga,95.88,63.15,42.16,79.22,70.1025,,,,
BA,Itapicuru,49.94,93.34,81.51,40.44,66.3075,,,,
BA,Itapitanga,120.57,105.33,86.03,96.2,102.0325,,,,
BA,Itaquara,86.07,67.03,50,53.27,64.0925,,,,
BA,Itarantim,91.68,62.23,46.82,80.22,70.2375,,,,
